Modelo,Acurácia,Precisão,Recall,F1-Score,Tempo (s)
SVM (RBF),0.9865384615384616,0.986998966180418,0.9865384615384616,0.9864805640590357,1.1606440544128418
K-Nearest Neighbors,0.9855769230769231,0.9857659355729352,0.9855769230769231,0.985589995881743,2.2655391693115234
Logistic Regression,0.9798076923076923,0.9800257539261051,0.9798076923076923,0.9798711500101126,0.07016777992248535
Gradient Boosting,0.9798076923076923,0.9801127174448017,0.9798076923076923,0.9798578157314246,7.775334358215332
Random Forest,0.9663461538461539,0.9708589544383922,0.9663461538461539,0.9664900530196032,0.820746660232544
Decision Tree,0.9317307692307693,0.9454268534310628,0.9317307692307693,0.9321289954466243,0.029012203216552734
Naive Bayes,0.885576923076923,0.9278232587000667,0.885576923076923,0.8755975387462931,0.005387306213378906
AdaBoost,0.7538461538461538,0.8569960784313726,0.7538461538461538,0.7592598991141553,0.4897005558013916
